time,S1, C
2.87,1.667339823,10
2.88,1.673326681,10
2.89,1.679292191,10
2.9,1.685236576,10
2.91,1.691160059,10
2.92,1.697062858,10
2.93,1.702945192,10
2.94,1.70880727,10
2.95,1.714649302,10
2.96,1.720471494,10
2.97,1.726274049,10
2.98,1.732057168,10
2.99,1.737821051,10
3,1.743565808,10
