time,S1, C
1.42,1.959591783,1
1.43,1.964688259,1
1.44,1.969771549,1
1.45,1.974841754,1
1.46,1.979898976,1
1.47,1.984943312,1
1.48,1.989974862,1
1.49,1.994993722,1
1.5,1.999999988,1
1.51,2.449488746,10
1.52,2.828426253,10
1.53,3.162276878,10
1.54,3.464100895,10
1.55,3.741656718,10
1.56,3.999999369,10
1.57,4.242640089,10
1.58,4.472135386,10
1.59,4.690415216,10
1.6,4.898978959,10
1.61,5.099019004,10
1.62,5.291502129,10
1.63,5.477225097,10
1.64,5.656853786,10
1.65,5.830951444,10
1.66,5.999999555,10
1.67,6.164413568,10
1.68,6.324554893,10
1.69,6.48074028,10
1.7,6.633249171,10
1.71,6.782329581,10
1.72,6.928202836,10
1.73,7.071067425,10
1.74,7.211102169,10
1.75,7.348468849,10
1.76,7.483314398,10
1.77,7.615772735,10
1.78,7.745966326,10
1.79,7.874007512,10
1.8,7.999999642,10
1.81,8.124038051,10
1.82,8.246210902,10
1.83,8.366599921,10
1.84,8.485281034,10
1.85,8.602324931,10
1.86,8.717797555,10
1.87,8.831760537,10
1.88,8.94427158,10
1.89,9.055384808,10
1.9,9.165151062,10
1.91,9.273618169,10
1.92,9.380831196,10
1.93,9.486832658,10
1.94,9.591662726,10
1.95,9.695359397,10
1.96,9.797958656,10
1.97,9.899494623,10
1.98,9.999999689,10
1.99,10.09950463,10
2,10.19803872,10
2.01,10.29562984,10
2.02,10.39230454,10
2.03,10.48808818,10
2.04,10.58300495,10
2.05,10.67707796,10
2.06,10.77032932,10
2.07,10.8627802,10
2.08,10.95445086,10
2.09,11.04536072,10
2.1,11.13552843,10
2.11,11.22497187,10
2.12,11.3137082,10
2.13,11.40175396,10
2.14,11.489125,10
2.15,11.57583661,10
2.16,11.6619035,10
2.17,11.74733983,10
2.18,11.83215928,10
2.19,11.916375,10
2.2,11.99999971,10
2.21,12.08304569,10
2.22,12.16552478,10
2.23,12.24744843,10
2.24,12.32882772,10
2.25,12.40967337,10
2.26,12.48999572,10
2.27,12.56980481,10
2.28,12.64911036,10
2.29,12.72792179,10
2.3,12.8062482,10
2.31,12.88409845,10
2.32,12.96148113,10
2.33,13.03840454,10
2.34,13.11487678,10
2.35,13.19090569,10
2.36,13.26649889,10
2.37,13.3416638,10
2.38,13.4164076,10
2.39,13.49073729,10
2.4,13.56465969,10
2.41,13.63818142,10
2.42,13.71130893,10
2.43,13.78404848,10
2.44,13.85640619,10
2.45,13.928388,10
2.46,13.99999973,10
2.47,14.07124701,10
2.48,14.14213535,10
2.49,14.21267013,10
2.5,14.28285659,10
2.51,14.35269982,10
2.52,14.42220483,10
2.53,14.49137648,10
2.54,14.56021951,10
2.55,14.62873857,10
2.56,14.69693819,10
2.57,14.76482279,10
2.58,14.83239671,10
2.59,14.89966416,10
2.6,14.96662928,10
2.61,15.03329611,10
2.62,15.09966861,10
2.63,15.16575062,10
2.64,15.23154595,10
2.65,15.29705828,10
2.66,15.36229123,10
2.67,15.42724836,10
2.68,15.49193312,10
2.69,15.55634893,10
2.7,15.62049909,10
2.71,15.68438688,10
2.72,15.74801549,10
2.73,15.81138804,10
2.74,15.87450761,10
2.75,15.9373772,10
2.76,15.99999975,10
2.77,16.06237815,10
2.78,16.12451524,10
2.79,16.1864138,10
2.8,16.24807656,10
2.81,16.30950618,10
2.82,16.37070529,10
2.83,16.43167647,10
2.84,16.49242225,10
2.85,16.5529451,10
2.86,16.61324747,10
2.87,16.67333174,10
2.88,16.73320027,10
2.89,16.79285536,10
2.9,16.85229928,10
2.91,16.91153426,10
2.92,16.97056249,10
2.93,17.0293861,10
2.94,17.08800723,10
2.95,17.14642794,10
2.96,17.20465027,10
2.97,17.26267624,10
2.98,17.32050781,10
2.99,17.37814693,10
3,17.43559551,10
